bmrb_id,author_family_name
3,Holak
3,Prestegard
4,Boyd
4,Campbell
4,Carver
4,Esposito
5,Gooley
5,Norton
6,Kallenbach
6,Wemmer
7,Carver
8,Basus
8,Billeter
8,Kuntz
8,Love
8,Stroud
9,Clore
9,Gronenborn
9,Nilges
9,Ryan
18,Hyberts
18,Marki
18,Wagner
19,Jardetzky
19,Li
19,Lichtarge
21,Burke
21,Mayo
23,Lee
23,Wider
23,Wuthrich
24,Clore
24,Gronenborn
24,Martin
25,Dalvit
25,Wright
26,Hall
26,Handa
26,Williamson
27,Clore
27,Gronenborn
27,Preuss
27,Sukumaran
27,Zarbock
29,Drobny
29,Klevit
29,Waygood
30,Clore
30,Gronenborn
30,Zarbock
32,Kaptein
32,Wuthrich
32,Zuiderweg
36,Braun
36,Brown
36,Kumar
36,Wuthrich
39,Kagi
39,Vasak
39,Wagner
39,Worgotter
39,Wuthrich
40,Dalvit
40,Wright
41,Alvin
41,Pardi
41,Selsted
42,Markley
42,Robertson
42,Westler
44,Markley
44,Rhyu
45,Wagner
45,Wuthrich
46,Bruhwiler
46,Wagner
48,Braun
48,Go
48,Havel
48,Schaumann
48,Wagner
48,Wuthrich
49,Chazin
49,Creighton
49,Goldenberg
49,Wuthrich
50,Kaplan
50,Lecomte
50,Llinas
50,Samuelsson
50,Thunberg
53,Strop
53,Wider
53,Wuthrich
55,Clore
55,Gronenborn
55,Jones
55,Sukumaran
55,Teeter
55,Whitlow
58,Hilbers
58,van de Ven
60,Kline
60,Wuthrich
62,LeMaster
62,Richards
63,Drobny
63,Kallenbach
63,Kumar
63,Lazdunski
63,Metrione
63,Wemmer
64,Ikenaka
64,Kobayashi
64,Koyama
64,Kyogoku
64,Norioka
65,Arseniev
65,Joubert
65,Wider
65,Wuthrich
66,Baumann
66,Hunziker-Kwik
66,Joubert
66,Keller
66,Wuthrich
68,Brown
68,Mueller
68,Weber
76,Boyd
76,Dobson
76,Redfield
77,Arseniev
77,Bystrov
77,Ivanov
77,Ovchinnikov
79,Driscoll
79,Hill
79,Redfield
80,Lazdunski
80,Schweitz
80,Wagner
80,Widmer
80,Wuthrich
81,Martenson
81,Mendz
81,Moore
81,Nygaard
86,Boyd
86,Campbell
86,Carver
86,Esposito
87,Carver
88,Bougis
88,Otting
88,Rochat
88,Steinmetz
88,Wuthrich
90,De Marco
90,Lecomte
90,Llinas
94,Burke
94,Mayo
95,Burke
95,Mayo
96,Kaptein
96,Wuthrich
96,Zuiderweg
97,Kagi
97,Vasak
97,Wagner
97,Worgotter
97,Wuthrich
102,Ikenaka
102,Kobayashi
102,Koyama
102,Kyogoku
102,Norioka
103,Ikenaka
103,Kobayashi
103,Koyama
103,Kyogoku
103,Norioka
104,Ikenaka
104,Kobayashi
104,Koyama
104,Kyogoku
104,Norioka
105,Ikenaka
105,Kobayashi
105,Koyama
105,Kyogoku
105,Norioka
106,Ikenaka
106,Kobayashi
106,Koyama
106,Kyogoku
106,Norioka
107,Ikenaka
107,Kobayashi
107,Koyama
107,Kyogoku
107,Norioka
108,Ikenaka
108,Kobayashi
108,Koyama
108,Kyogoku
108,Norioka
109,Ikenaka
109,Kobayashi
109,Koyama
109,Kyogoku
109,Norioka
112,Ikenaka
112,Kobayashi
112,Koyama
112,Kyogoku
112,Norioka
114,Bontems
114,Boyot
114,Doljansky
114,Gilquin
114,Menez
114,Roumestand
114,Toma
115,Arseniev
115,Joubert
115,Wider
115,Wuthrich
116,Arseniev
116,Joubert
116,Wider
116,Wuthrich
117,Baumann
117,Hunziker-Kwik
117,Joubert
117,Keller
117,Wuthrich
119,Curzon
119,Hawkes
119,Lian
119,Randall
119,Sales
120,Driscoll
120,Hill
120,Redfield
121,Driscoll
121,Hill
121,Redfield
122,Driscoll
122,Hill
122,Redfield
123,Lazdunski
123,Schweitz
123,Wagner
123,Widmer
123,Wuthrich
126,Saito
126,Williams
126,Wormald
127,Kaptein
127,Wuthrich
127,Zuiderweg
131,Boyd
131,Moore
131,Pielak
131,Williams
132,Hunziker-Kwik
132,Labhardt
132,Wuthrich
133,Hoffmann
133,Ruterjans
136,Bax
136,Sparks
136,Torchia
139,Gariepy
139,Jardetzky
139,Lane
139,Prigent
139,Robien
139,Schoolnik
139,Wilbur
140,Boverman
140,Clore
140,Gronenborn
141,Bennich
141,Clore
141,Engstrom
141,Gronenborn
141,Holak
141,Jones
141,Kraulis
141,Lindeberg
142,Fesik
142,Gampe
142,Olejniczak
142,Rockway
144,Cave
144,Padilla
144,Parello
146,Strop
146,Wider
146,Wuthrich
148,Gooley
148,Norton
149,Gooley
149,Norton
150,Gooley
150,Norton
151,Gooley
151,Norton
161,Appleby
161,Dalvit
161,Narula
161,Wright
162,Brown
162,Jeffs
162,Mueller
169,King
169,Wright
171,Adman
171,Canters
171,Hill
171,Kitchen
180,Appleby
180,Dalvit
180,Narula
180,Wright
181,Appleby
181,Dalvit
181,Narula
181,Wright
182,Appleby
182,Dalvit
182,Narula
182,Wright
183,Brown
183,Jeffs
183,Mueller
185,King
185,Wright
186,King
186,Wright
187,King
187,Wright
188,Bax
188,Sparks
188,Torchia
189,Bax
189,Sparks
189,Torchia
190,Boyd
190,Moore
190,Pielak
190,Williams
191,Bowen
191,Fairbrother
191,Hall
191,Williams
192,Clore
192,Gronenborn
192,Jones
192,Knowles
192,Kraulis
192,Nilges
192,Petterson
193,Endo
193,Fujino
193,Inooka
193,Ishibashi
193,Kitada
193,Mizuta
194,Hoflack
194,Pelton
194,Saudek
195,Neri
195,Otting
195,Senn
195,Szyperski
195,Wuthrich
196,Clore
196,Gronenborn
196,Jones
196,Knowles
196,Kraulis
196,Nilges
196,Petterson
199,Gondol
199,Holak
199,Otlewski
199,Wilusz
200,Taylor
200,Vaughn
216,Boswell
216,Eley
216,Hennig
216,Moore
216,Neupert
216,Robinson
216,Williams
216,Williams
217,Boswell
217,Eley
