bmrb_id,ligand_code
4019,?
4024,?
4027,?
4027,?
4038,?
4038,?
4041,?
4042,?
4049,?
4050,?
4051,?
4053,CA
4053,PTP
4056,?
4061,?
4061,?
4062,?
4062,?
4066,?
4073,?
4074,?
4077,?
4083,?
4089,?
4096,?
4096,?
4099,?
4102,?
4105,?
4129,?
4130,?
4131,?
4137,?
4142,?
4149,?
4153,ZN
4154,?
4164,Ga+3
4166,?
4167,?
4167,?
4173,?
4173,?
4174,?
4181,FES
4182,FE
4184,?
4189,HEC
4193,?
4202,?
4202,?
4208,?
4219,?
4229,FS4
4230,?
4231,FS4
4236,?
4249,?
4252,?
4260,?
4261,?
4262,?
4268,FS3
4268,FS4
4270,?
4271,CA
4276,AMH
4284,?
4291,HEC
4300,?
4300,?
4306,ZN
4310,CA
4313,?
4315,?
4319,?
4320,?
4321,?
4329,?
4332,?
4332,?
4335,?
4336,?
4337,LPA
4341,?
4341,?
4349,?
4354,BCD
4356,?
4361,CO
4362,ZN
4363,?
4364,?
4365,?
4366,?
4378,?
4380,?
4382,?
4383,?
4392,?
4414,?
4423,ZN
4426,BTN
4435,HEC
4436,HEC
4439,?
4439,?
4440,?
4440,?
4440,?
4441,?
4442,?
4444,?
4462,?
4465,CU1
4466,CU1
4471,?
4472,?
4475,CA
4492,CA
4498,ZN
4514,CA
4524,?
4528,?
4553,?
4554,?
4559,ZN
4565,?
4566,?
4571,ZN
4575,?
4578,?
4579,?
4592,?
4600,ZN
4602,HEM
4617,ZN
4619,ZN
4621,ZN
4630,NAG
4644,ZN
4647,BP
4666,?
4667,CO
4673,?
4677,ZN
4679,?
4682,?
4684,?
4695,HEA
4702,CA
4705,?
4707,ZN
4708,ZN
4709,ZN
4710,ZN
4712,SCR
4722,?
4725,?
4729,?
4738,CU
4738,CU
4739,CA
4743,HEC
4744,HEC
4746,CO
4753,ZN
4754,?
4759,HEM
4761,HEM
4764,MG
4770,GDP
4776,?
4777,?
4778,GNP
4782,CA
4786,BLM
4786,ZN
4789,ZN
4798,CA
4800,HEC
4801,HEC
4803,HEM
