pdb_id,author_family_name
103d,Chou
103d,Zhu
103d,Reid
104d,Zhu
104d,Salazar
104d,Reid
105d,Leroy
105d,Gueron
106d,Leroy
106d,Gueron
107d,Lin
107d,Patel
108d,Spielmann
108d,Wemmer
108d,Jacobsen
124d,Fedoroff
124d,Salazar
124d,Reid
132d,Kim
132d,Reid
134d,Radhakrishnan
134d,Patel
135d,Radhakrishnan
135d,Patel
136d,Radhakrishnan
136d,Patel
139d,Wang
139d,Patel
140d,Mujeeb
140d,Kerwin
140d,Kenyon
140d,James
141d,Mujeeb
141d,Kerwin
141d,Kenyon
141d,James
142d,Mujeeb
142d,Kerwin
142d,Kenyon
142d,James
143d,Wang
143d,Patel
146d,Sastry
146d,Patel
148d,Schultze
148d,Macaya
148d,Feigon
149d,Radhakrishnan
149d,Patel
156d,Schultze
156d,Smith
156d,Feigon
169d,Salazar
169d,Fedoroff
169d,Zhu
169d,Reid
170d,Schweitzer
170d,Mikita
170d,Kellogg
170d,Gardner
170d,Beardsley
171d,Schweitzer
171d,Mikita
171d,Kellogg
171d,Gardner
171d,Beardsley
175d,Chou
175d,Cheng
175d,Fedoroff
175d,Reid
176d,Brown
176d,Thomson
176d,Veal
176d,Davis
177d,Radhakrishnan
177d,Patel
179d,Wang
179d,Patel
17ra,Smith
17ra,Nikonowicz
185d,Addess
185d,Feigon
186d,Wang
186d,Patel
193d,Chen
193d,Patel
199d,Sastry
199d,Fiala
199d,Lipman
199d,Tomasz
199d,Patel
1a03,Sastry
1a03,Ketchem
1a03,Crescenzi
1a03,Weber
1a03,Lubienski
1a03,Hidaka
1a03,Chazin
1a0n,Renzoni
1a0n,Pugh
1a0n,Siligardi
1a0n,Das
1a0n,Morton
1a0n,Rossi
1a0n,Waterfield
1a0n,Campbell
1a0n,Ladbury
1a11,Opella
1a11,Gesell
1a11,Valente
1a11,Marassi
1a11,Oblatt-Montal
1a11,Sun
1a11,Ferrer-Montiel
1a11,Montal
1a13,Kusunoki
1a13,Wakamatsu
1a13,Sato
1a13,Miyazawa
1a13,Kohno
1a1d,Krapp
1a1d,Kelly
1a1d,Reischl
1a1d,Weinzierl
1a1d,Matthews
1a1p,Morikis
1a1p,Assa-Munt
1a1p,Sahu
1a1p,Lambris
1a1t,De Guzman
1a1t,Wu
1a1t,Stalling
1a1t,Pappalardo
1a1t,Borer
1a1t,Summers
1a1u,McCoy
1a1u,Stavridi
1a1u,Waterman
1a1u,Wieczorek
1a1u,Opella
1a1u,Halazonetis
1a1w,Eberstadt
1a1w,Huang
1a1w,Chen
1a1w,Meadows
1a1w,Ng
1a1w,Zheng
1a1w,Lenardo
1a1w,Fesik
1a1z,Eberstadt
1a1z,Huang
1a1z,Chen
1a1z,Meadows
1a1z,Ng
1a1z,Zheng
1a1z,Lenardo
1a1z,Fesik
1a23,Schirra
1a23,Renner
1a23,Czisch
1a23,Huber-Wunderlich
1a23,Holak
1a23,Glockshuber
1a24,Schirra
1a24,Renner
1a24,Czisch
1a24,Huber-Wunderlich
1a24,Holak
1a24,Glockshuber
1a2i,Messias
1a2i,Kastrau
1a2i,Costa
1a2i,LeGall
1a2i,Turner
1a2i,Santos
1a2i,Xavier
1a2s,Banci
1a2s,Bertini
1a2s,De la Rosa
1a2s,Koulougliotis
1a2s,Navarro
1a2s,Walter
1a3m,Fourmy
1a3m,Yoshizawa
1a3m,Puglisi
1a3p,Barnham
1a3p,Torres
1a3p,Alewood
1a3p,Alewood
1a3p,Domagala
1a3p,Nice
1a3p,Norton
1a4d,Dallas
1a4d,Moore
1a4t,Cai
1a4t,Gorin
1a4t,Frederick
1a4t,Ye
1a4t,Hu
1a4t,Majumdar
1a4t,Kettani
1a4t,Patel
1a51,Dallas
1a51,Moore
1a56,Timkovich
1a56,Bergmann
1a56,Arciero
1a56,Hooper
1a57,Steele
1a57,Emmert
1a57,Kao
1a57,Hodsdon
1a57,Frieden
1a57,Cistola
1a5e,Byeon
1a5e,Li
1a5e,Ericson
1a5e,Selby
1a5e,Tevelev
1a5e,Kim
1a5e,
1a5e,Tsai
1a5j,McIntosh
1a5j,Frenkiel
1a5j,Wollborn
1a5j,McCormick
1a5j,Klempnauer
1a5j,Feeney
1a5j,Carr
1a5r,Bayer
1a5r,Arndt
1a5r,Metzger
1a5r,Mahajan
1a5r,Melchior
1a5r,Jaenicke
1a5r,Becker
1a60,Kolk
1a60,van der Graaf
1a60,Wijmenga
1a60,Pleij
1a60,Heus
1a60,Hilbers
1a63,Briercheck
1a63,Wood
1a63,Allison
1a63,Richardson
1a63,Rule
1a66,Zhou
1a66,Sun
1a66,Dotsch
1a66,Wagner
1a66,Verdine
1a67,Dieckmann
1a67,Mitschang
1a67,Hofmann
1a67,Kos
1a67,Turk
1a67,Auerswald
1a67,Jaenicke
1a67,Oschkinat
1a6b,Schuler
1a6b,Dong
1a6b,Wecker
1a6b,Roques
1a6h,Kettani
1a6h,Kumar
1a6h,Patel
1a6s,McDonnell
1a6s,Fushman
1a6s,Cahill
1a6s,Zhou
1a6s,Wolven
1a6s,Wilson
1a6s,Nelle
1a6s,Resh
1a6s,Wills
1a6s,Cowburn
1a6x,Yao
1a6x,Wei
1a6x,Soden Jr.
1a6x,Summers
1a6x,Beckett
1a7f,Ludvigsen
1a7f,Olsen
1a7f,Kaarsholm
1a7i,Kontaxis
1a7i,Konrat
1a7i,Krautler
1a7i,Weiskirchen
1a7i,Bister
1a7m,Hinds
1a7m,Maurer
1a7m,Zhang
1a7m,Nicola
1a7m,Norton
1a83,Han
1a83,Leroy
1a83,Gueron
1a84,Gelasco
1a84,Lippard
1a8c,Timkovich
1a8c,Bergmann
1a8c,Arciero
1a8c,Hooper
1a8n,Kettani
1a8n,Bouaziz
1a8n,Gorin
1a8n,Zhao
1a8n,Jones
1a8n,Patel
1a8w,Bouaziz
1a8w,Kettani
1a8w,Patel
1a90,Dieckmann
1a90,Mitschang
1a90,Hofmann
1a90,Kos
1a90,Turk
1a90,Auerswald
1a90,Jaenicke
1a90,Oschkinat
1a91,Girvin
1a91,Rastogi
1a91,Abildgaard
1a91,Markley
1a91,Fillingame
1a93,Lavigne
1a93,Crump
1a93,Gagne
1a93,Hodges
1a93,Kay
1a93,Sykes
1a9g,Beger
1a9g,Bolton
1a9h,Beger
1a9h,Bolton
1a9i,Beger
1a9i,Bolton
1a9j,Beger
1a9j,Bolton
1a9l,Diener
1a9l,Moore
1a9v,Mueller
1a9v,Benjamin
1a9v,Rule
1aa3,Aihara
1aa3,Ito
1aa3,Kurumizaka
1aa3,Terada
1aa3,Yokoyama
1aa3,Shibata
1aa9,Ito
1aa9,Yamasaki
1aa9,Iwahara
1aa9,Terada
1aa9,Kamiya
1aa9,Shirouzu
1aa9,Muto
1aa9,Kawai
1aa9,Yokoyama
1aa9,Laue
1aa9,Walchli
1aa9,Shibata
1aa9,Nishimura
1aa9,Miyazawa
1aab,Hardman
1aab,Broadhurst
1aab,Raine
1aab,Grasser
1aab,Thomas
1aab,Laue
1aaf,Summers
1aaf,Henderson
1aaf,Chance
1aaf,Bess Jr.
1aaf,South
1aaf,Blake
1aaf,Sagi
1aaf,Perez-Alvarado
1aaf,Sowder 3rd.
1aaf,Hare
1aaf,Arthur
1ab2,Overduin
1ab2,Rios
1ab2,Mayer
1ab2,Baltimore
1ab2,Cowburn
1ab3,Berglund
1ab3,Rak
1ab3,Serganov
1ab3,Garber
1ab3,Hard
1ab7,Wong
1ab7,Fersht
1ab7,Freund
1abt,Basus
1abt,Song
1abt,Hawrot
1abv,Wilkens
1abv,Dunn
1abv,Chandler
1abv,Dahlquist
1abv,Capaldi
1abz,Fezoui
1abz,Connolly
1abz,Osterhout
1ac0,Sorimachi
1ac0,Le Gal-Coeffet
1ac0,Williamson
1ac0,Archer
1ac0,Williamson
1ac3,Cross
1ac3,Rice
1ac3,Gao
1ac7,van Dongen
1ac7,Mooren
1ac7,Willems
1ac7,van der Marel
1ac7,van Boom
1ac7,Wijmenga
1ac7,Hilbers
1ac9,Foti
1ac9,Marshalko
1ac9,Schurter
1ac9,Kumar
1ac9,Beardsley
1ac9,Schweitzer
1aca,Kragelund
1aca,Andersen
1aca,Madsen
1aca,Knudsen
1aca,Poulsen
1aci,Xing
1aci,Draper
1acp,Kim
1acp,Prestegard
1acw,Blanc
1acw,Fremont
1acw,Sizun
1acw,Meunier
1acw,Van Rietschoten
1acw,Thevand
1acw,Bernassau
1acw,Darbon
1acz,Sorimachi
1acz,Le Gal-Coeffet
1acz,Williamson
1acz,Archer
1acz,Williamson
1ad7,Rigby
1ad7,Baleja
1ad7,Furie
1ad7,Furie
1adn,Myers
