bmrb_id,query_orf_subid,pdb_id,subject_orf_subid,match_size,number_gaps,number_identities,query_orf_match_start
3,acyl_carrier_protein,1acp,,77,0,76,1
3,acyl_carrier_protein,1hy8,A,72,0,45,5
3,acyl_carrier_protein,1klp,A,66,0,24,7
3,acyl_carrier_protein,2af8,,45,0,17,30
3,acyl_carrier_protein,1af8,,45,0,17,30
3,acyl_carrier_protein,1n8l,A,55,0,19,9
3,acyl_carrier_protein,1n3k,A,62,12,19,14
5,anthopleurin-A,1ahl,,49,0,49,1
5,anthopleurin-A,1apf,,49,0,42,1
5,anthopleurin-A,1atx,,49,3,29,1
5,anthopleurin-A,2sh1,,47,2,17,3
5,anthopleurin-A,1shi,,47,2,17,3
5,anthopleurin-A,1sh1,,47,2,17,3
8,alpha-bungarotoxin,2btx,A,74,0,72,1
8,alpha-bungarotoxin,1rgj,A,74,0,72,1
8,alpha-bungarotoxin,1ljz,A,74,0,72,1
8,alpha-bungarotoxin,1l4w,A,74,0,72,1
8,alpha-bungarotoxin,1kl8,A,74,0,72,1
8,alpha-bungarotoxin,1kfh,A,74,0,72,1
8,alpha-bungarotoxin,1kc4,A,74,0,72,1
8,alpha-bungarotoxin,1jbd,A,74,0,72,1
8,alpha-bungarotoxin,1ikc,A,74,0,72,1
8,alpha-bungarotoxin,1ik8,A,74,0,72,1
8,alpha-bungarotoxin,1idl,A,74,0,72,1
8,alpha-bungarotoxin,1idi,A,74,0,72,1
8,alpha-bungarotoxin,1idh,A,74,0,72,1
8,alpha-bungarotoxin,1idg,A,74,0,72,1
8,alpha-bungarotoxin,1hoy,A,74,0,72,1
8,alpha-bungarotoxin,1haj,A,74,0,72,1
8,alpha-bungarotoxin,1haa,A,74,0,72,1
8,alpha-bungarotoxin,1bxp,A,74,0,72,1
8,alpha-bungarotoxin,1abt,A,74,0,72,1
8,alpha-bungarotoxin,1w6b,A,72,1,45,1
8,alpha-bungarotoxin,1txb,,62,0,37,8
8,alpha-bungarotoxin,1txa,,62,0,37,8
8,alpha-bungarotoxin,1lsi,,61,0,36,9
8,alpha-bungarotoxin,1lxh,A,65,1,38,8
8,alpha-bungarotoxin,1lxg,A,65,1,38,8
8,alpha-bungarotoxin,2nbt,B,64,2,32,5
8,alpha-bungarotoxin,2nbt,A,64,2,32,5
8,alpha-bungarotoxin,1nea,,65,8,30,3
8,alpha-bungarotoxin,1fra,,60,6,24,7
8,alpha-bungarotoxin,1era,,60,6,24,7
8,alpha-bungarotoxin,1nor,,65,8,28,3
8,alpha-bungarotoxin,1je9,A,64,6,25,3
8,alpha-bungarotoxin,1g6m,A,65,7,28,3
8,alpha-bungarotoxin,1coe,,65,7,28,3
8,alpha-bungarotoxin,1cod,,65,7,28,3
8,alpha-bungarotoxin,1mr6,A,52,0,21,15
8,alpha-bungarotoxin,1vyc,A,55,3,25,12
8,alpha-bungarotoxin,1jgk,A,52,5,24,16
8,alpha-bungarotoxin,2cdx,,57,4,22,10
8,alpha-bungarotoxin,1ntx,,58,6,25,9
8,alpha-bungarotoxin,1cvo,,67,10,27,3
8,alpha-bungarotoxin,1rl5,A,57,4,22,10
8,alpha-bungarotoxin,1ffj,A,57,4,21,10
8,alpha-bungarotoxin,1chv,S,57,4,21,10
8,alpha-bungarotoxin,1ccq,A,57,4,21,10
8,alpha-bungarotoxin,1cb9,A,57,4,21,10
8,alpha-bungarotoxin,1kbt,,57,4,21,10
8,alpha-bungarotoxin,1kbs,,57,4,21,10
8,alpha-bungarotoxin,1crf,,57,4,21,10
8,alpha-bungarotoxin,1cre,,57,4,21,10
8,alpha-bungarotoxin,2crt,,58,6,23,10
8,alpha-bungarotoxin,2crs,,58,6,23,10
8,alpha-bungarotoxin,1i02,A,58,6,23,10
8,alpha-bungarotoxin,1cxo,,52,4,20,15
8,alpha-bungarotoxin,1cxn,,52,4,20,15
8,alpha-bungarotoxin,2ccx,,52,4,19,15
8,alpha-bungarotoxin,1drs,,69,16,20,2
8,alpha-bungarotoxin,1tfs,,66,9,20,2
9,carboxypeptidase_inhibitor,1h20,A,38,0,38,2
9,carboxypeptidase_inhibitor,1ixt,A,28,5,10,8
18,eglin_c,1egl,,69,0,69,2
18,eglin_c,3ci2,,61,1,23,10
18,eglin_c,1tin,,62,1,23,9
18,eglin_c,1mit,,62,1,23,9
18,eglin_c,1dwm,A,61,1,22,9
18,eglin_c,1cir,A,35,0,13,10
18,eglin_c,1cis,,63,3,18,10
21,epidermal_growth_factor,3egf,,53,0,53,1
21,epidermal_growth_factor,1epj,,53,0,53,1
21,epidermal_growth_factor,1epi,,53,0,53,1
21,epidermal_growth_factor,1eph,,53,0,53,1
21,epidermal_growth_factor,1epg,,53,0,53,1
21,epidermal_growth_factor,1egf,,53,0,53,1
21,epidermal_growth_factor,1gk5,A,47,0,44,1
21,epidermal_growth_factor,1a3p,,45,0,43,4
21,epidermal_growth_factor,1p9j,A,47,0,34,6
21,epidermal_growth_factor,1k37,A,38,1,15,6
21,epidermal_growth_factor,1k36,A,38,1,15,6
21,epidermal_growth_factor,4tgf,,42,1,16,6
21,epidermal_growth_factor,3tgf,,42,1,16,6
21,epidermal_growth_factor,2tgf,,42,1,16,6
21,epidermal_growth_factor,1yug,,42,1,16,6
21,epidermal_growth_factor,1yuf,,42,1,16,6
21,epidermal_growth_factor,1ip0,A,42,1,16,6
21,epidermal_growth_factor,1iox,A,42,1,16,6
21,epidermal_growth_factor,1hrf,,40,3,14,6
21,epidermal_growth_factor,1hre,,40,3,14,6
21,epidermal_growth_factor,1haf,,40,3,14,6
21,epidermal_growth_factor,1hae,,40,3,14,6
21,epidermal_growth_factor,1ixa,,30,2,13,14
21,epidermal_growth_factor,1toz,A,30,2,13,14
21,epidermal_growth_factor,1toz,A,30,2,10,14
21,epidermal_growth_factor,1toz,A,30,2,9,14
21,epidermal_growth_factor,1tpg,,30,0,10,14
21,epidermal_growth_factor,1whf,,30,2,12,14
21,epidermal_growth_factor,1whe,,30,2,12,14
21,epidermal_growth_factor,1ffm,A,31,2,13,14
21,epidermal_growth_factor,1ff7,A,31,2,13,14
21,epidermal_growth_factor,1f7m,A,31,2,13,14
21,epidermal_growth_factor,1f7e,A,31,2,13,14
21,epidermal_growth_factor,1ccf,,30,2,12,14
21,epidermal_growth_factor,1bf9,,31,2,13,14
21,epidermal_growth_factor,1apo,,30,2,12,14
21,epidermal_growth_factor,1fsb,,36,2,13,8
21,epidermal_growth_factor,1urk,,38,3,14,7
23,glucagon,1kx6,A,29,0,29,1
23,glucagon,1nau,A,28,1,26,2
23,glucagon,1d0r,A,27,0,14,1
23,glucagon,1jrj,A,28,0,13,1
23,glucagon,1t5q,A,27,0,14,1
27,hirudin,5hir,,65,0,64,1
27,hirudin,2hir,,65,0,64,1
27,hirudin,6hir,,65,0,63,1
27,hirudin,4hir,,65,0,63,1
27,hirudin,1hic,,51,0,51,1
27,hirudin,1m8c,A,44,0,14,2
27,hirudin,1m8b,A,44,0,14,2
29,phosphocarrier_protein_HPr,3eze,B,85,0,85,1
29,phosphocarrier_protein_HPr,3ezb,B,85,0,85,1
29,phosphocarrier_protein_HPr,3eza,B,85,0,85,1
29,phosphocarrier_protein_HPr,1vrc,D,85,0,85,1
29,phosphocarrier_protein_HPr,1vrc,C,85,0,85,1
29,phosphocarrier_protein_HPr,1pfh,,85,0,85,1
29,phosphocarrier_protein_HPr,1j6t,B,85,0,85,1
29,phosphocarrier_protein_HPr,1hdn,,85,0,85,1
29,phosphocarrier_protein_HPr,1ggr,B,85,0,85,1
29,phosphocarrier_protein_HPr,1k1c,A,81,0,37,3
29,phosphocarrier_protein_HPr,2hid,,79,0,28,3
29,phosphocarrier_protein_HPr,1jem,,79,0,28,3
29,phosphocarrier_protein_HPr,1qr5,A,83,0,29,1
29,phosphocarrier_protein_HPr,1qfr,A,81,0,30,1
29,phosphocarrier_protein_HPr,1txe,A,83,0,29,1
29,phosphocarrier_protein_HPr,1ka5,A,83,0,27,1
30,histone_H5,1ghc,,73,2,32,5
30,histone_H5,1ust,A,78,5,29,2
30,histone_H5,1uhm,A,78,5,29,2
30,histone_H5,1yqa,A,79,5,27,1
30,histone_H5,1uss,A,80,6,28,1
32,lac_repressor_headpiece,1osl,B,51,0,51,1
32,lac_repressor_headpiece,1osl,A,51,0,51,1
32,lac_repressor_headpiece,1lqc,,51,0,51,1
32,lac_repressor_headpiece,1lcd,A,51,0,51,1
32,lac_repressor_headpiece,1lcc,A,51,0,51,1
32,lac_repressor_headpiece,1l1m,B,51,0,51,1
32,lac_repressor_headpiece,1l1m,A,51,0,51,1
32,lac_repressor_headpiece,1cjg,B,51,0,51,1
32,lac_repressor_headpiece,1cjg,A,51,0,51,1
32,lac_repressor_headpiece,2bjc,B,51,0,49,1
32,lac_repressor_headpiece,2bjc,A,51,0,49,1
32,lac_repressor_headpiece,1prv,,46,0,22,5
32,lac_repressor_headpiece,1pru,,46,0,22,5
32,lac_repressor_headpiece,1uxd,,48,3,23,6
32,lac_repressor_headpiece,1uxc,,48,3,23,6
36,melittin,1bh1,,25,0,25,1
39,metallothionein-2,1mrt,,31,0,31,31
39,metallothionein-2,1mrt,,31,3,13,5
39,metallothionein-2,1mhu,,31,0,29,31
39,metallothionein-2,1mhu,,31,3,14,5
39,metallothionein-2,1mrb,,31,0,28,31
39,metallothionein-2,1mrb,,31,3,14,5
39,metallothionein-2,1dfs,A,31,0,25,31
39,metallothionein-2,2mrt,,29,0,28,2
39,metallothionein-2,2mrt,,27,2,11,34
39,metallothionein-2,2mhu,,29,0,23,2
39,metallothionein-2,1dft,A,29,0,21,2
39,metallothionein-2,1ji9,A,36,6,20,31
39,metallothionein-2,1ji9,A,33,0,13,5
39,metallothionein-2,2mrb,,30,1,22,2
39,metallothionein-2,2fj5,A,36,6,19,31
39,metallothionein-2,2fj5,A,33,0,12,5
39,metallothionein-2,2fj4,A,36,6,19,31
39,metallothionein-2,2fj4,A,33,0,12,5
